;event_id;type;stop-id;line-id;passengers;line-direction;line-freq-repetition
97;98;arrival;6;8;0;>;2
98;99;departure;8;8;0;>;2
99;100;arrival;6;8;0;>;2
100;101;departure;6;8;0;<;1
101;102;arrival;8;8;0;<;1
102;103;departure;6;8;0;<;1
103;104;arrival;15;8;75;<;1
104;105;departure;7;8;0;<;1
105;106;arrival;15;8;140;<;1
106;107;departure;7;8;0;<;1
107;108;arrival;10;8;10;<;1
108;109;departure;10;8;0;<;1
109;110;arrival;13;8;580;<;1
110;111;departure;6;8;0;<;2
111;112;arrival;8;8;0;<;2
112;113;departure;6;8;0;<;2
113;114;arrival;15;8;0;<;2
114;115;departure;7;8;0;<;2
115;116;arrival;15;8;0;<;2
116;117;departure;7;8;0;<;2
117;118;arrival;10;8;0;<;2
118;119;departure;10;8;0;<;2
119;120;arrival;13;8;0;<;2
120;121;departure;15;9;0;>;1
121;122;arrival;9;9;310;>;1
122;123;departure;15;9;0;>;1
123;124;arrival;6;9;255;>;1
124;125;departure;6;9;0;>;1
125;126;arrival;3;9;895;>;1
126;127;departure;3;9;0;>;1
127;128;arrival;2;9;950;>;1
128;129;departure;2;9;0;>;1
129;130;arrival;1;9;965;>;1
130;131;departure;1;9;0;<;1
131;132;arrival;2;9;965;<;1
132;133;departure;2;9;0;<;1
133;134;arrival;3;9;950;<;1
134;135;departure;3;9;0;<;1
135;136;arrival;6;9;895;<;1
136;137;departure;6;9;0;<;1
137;138;arrival;15;9;255;<;1
138;139;departure;9;9;0;<;1
139;140;arrival;15;9;310;<;1
140;141;departure;15;11;0;>;1
141;142;arrival;8;11;85;>;1
142;143;departure;8;11;0;>;1
143;144;arrival;6;11;0;>;1
144;145;departure;6;11;0;>;1
145;146;arrival;4;11;0;>;1
146;147;departure;4;11;0;>;1
147;148;arrival;2;11;280;>;1
148;149;departure;2;11;0;>;1
149;150;arrival;1;11;85;>;1
150;151;departure;1;11;0;<;1
151;152;arrival;2;11;85;<;1
152;153;departure;2;11;0;<;1
153;154;arrival;4;11;280;<;1
154;155;departure;4;11;0;<;1
155;156;arrival;6;11;0;<;1
156;157;departure;6;11;0;<;1
157;158;arrival;8;11;0;<;1
158;159;departure;8;11;0;<;1
159;160;arrival;15;11;85;<;1
160;161;departure;10;15;0;>;1
161;162;arrival;8;15;400;>;1
162;163;departure;8;15;0;>;1
163;164;arrival;6;15;655;>;1
164;165;departure;6;15;0;>;1
165;166;arrival;3;15;655;>;1
166;167;departure;3;15;0;>;1
167;168;arrival;2;15;505;>;1
168;169;departure;2;15;0;>;1
169;170;arrival;1;15;270;>;1
170;171;departure;10;15;0;>;2
171;172;arrival;8;15;0;>;2
172;173;departure;8;15;0;>;2
173;174;arrival;6;15;0;>;2
174;175;departure;6;15;0;>;2
175;176;arrival;3;15;0;>;2
176;177;departure;3;15;0;>;2
177;178;arrival;2;15;0;>;2
178;179;departure;2;15;0;>;2
179;180;arrival;1;15;0;>;2
180;181;departure;10;15;0;>;3
181;182;arrival;8;15;0;>;3
182;183;departure;8;15;0;>;3
183;184;arrival;6;15;0;>;3
184;185;departure;6;15;0;>;3
185;186;arrival;3;15;0;>;3
186;187;departure;3;15;0;>;3
187;188;arrival;2;15;0;>;3
188;189;departure;2;15;0;>;3
189;190;arrival;1;15;0;>;3
190;191;departure;1;15;0;<;1
191;192;arrival;2;15;270;<;1
192;193;departure;2;15;0;<;1
193;194;arrival;3;15;505;<;1
194;195;departure;3;15;0;<;1
195;196;arrival;6;15;655;<;1
196;197;departure;6;15;0;<;1
197;198;arrival;8;15;655;<;1
198;199;departure;8;15;0;<;1
199;200;arrival;10;15;400;<;1
200;201;departure;1;15;0;<;2
201;202;arrival;2;15;0;<;2
202;203;departure;2;15;0;<;2
203;204;arrival;3;15;0;<;2
204;205;departure;3;15;0;<;2
205;206;arrival;6;15;0;<;2
206;207;departure;6;15;0;<;2
207;208;arrival;8;15;0;<;2
208;209;departure;8;15;0;<;2
209;210;arrival;10;15;0;<;2
210;211;departure;1;15;0;<;3
211;212;arrival;2;15;0;<;3
212;213;departure;2;15;0;<;3
213;214;arrival;3;15;0;<;3
214;215;departure;3;15;0;<;3
215;216;arrival;6;15;0;<;3
216;217;departure;6;15;0;<;3
217;218;arrival;8;15;0;<;3
218;219;departure;8;15;0;<;3
219;220;arrival;10;15;0;<;3
220;221;departure;12;22;0;>;1
221;222;arrival;4;22;115;>;1
222;223;departure;5;22;0;>;1
223;224;arrival;4;22;305;>;1
224;225;departure;5;22;0;>;1
225;226;arrival;2;22;175;>;1
226;227;departure;3;22;0;>;1
227;228;arrival;2;22;0;>;1
228;229;departure;6;22;0;>;1
229;230;arrival;3;22;0;>;1
230;231;departure;3;22;0;<;1
231;232;arrival;6;22;0;<;1
232;233;departure;2;22;0;<;1
233;234;arrival;3;22;0;<;1
234;235;departure;2;22;0;<;1
235;236;arrival;5;22;175;<;1
236;237;departure;4;22;0;<;1
237;238;arrival;5;22;305;<;1
238;239;departure;4;22;0;<;1
239;240;arrival;12;22;115;<;1
