;activity_index;type;from_event;to_event;lower_bound;upper_bound;passengers
238;239;drive;221;222;10.0;10.0;115
239;240;wait;222;223;1.0;3.0;0
240;241;drive;223;224;4.0;4.0;305
241;242;wait;224;225;1.0;3.0;0
242;243;drive;225;226;6.0;6.0;175
243;244;wait;226;227;1.0;3.0;0
244;245;drive;227;228;2.0;2.0;0
245;246;wait;228;229;1.0;3.0;0
246;247;drive;229;230;3.0;3.0;0
247;248;drive;231;232;3.0;3.0;0
248;249;wait;232;233;1.0;3.0;0
249;250;drive;233;234;2.0;2.0;0
250;251;wait;234;235;1.0;3.0;0
251;252;drive;235;236;6.0;6.0;175
252;253;wait;236;237;1.0;3.0;0
253;254;drive;237;238;4.0;4.0;305
254;255;wait;238;239;1.0;3.0;0
255;256;drive;239;240;10.0;10.0;115
256;257;change;2;81;3.0;62.0;0
257;258;change;2;91;3.0;62.0;0
258;259;change;4;23;3.0;62.0;0
259;260;change;4;33;3.0;62.0;0
260;261;change;4;49;3.0;62.0;70
261;262;change;4;59;3.0;62.0;0
262;263;change;6;25;3.0;62.0;0
263;264;change;6;35;3.0;62.0;0
264;265;change;6;47;3.0;62.0;0
265;266;change;6;57;3.0;62.0;0
266;267;change;6;63;3.0;62.0;35
267;268;change;6;79;3.0;62.0;0
268;269;change;6;83;3.0;62.0;0
269;270;change;6;93;3.0;62.0;0
270;271;change;6;109;3.0;62.0;0
271;272;change;6;119;3.0;62.0;0
272;273;change;6;161;3.0;62.0;0
273;274;change;6;171;3.0;62.0;0
274;275;change;6;181;3.0;62.0;0
275;276;change;8;27;3.0;62.0;0
276;277;change;8;37;3.0;62.0;0
277;278;change;8;45;3.0;62.0;0
278;279;change;8;55;3.0;62.0;0
279;280;change;8;69;3.0;62.0;0
280;281;change;8;89;3.0;62.0;0
281;282;change;8;99;3.0;62.0;0
282;283;change;8;143;3.0;62.0;0
283;284;change;8;159;3.0;62.0;20
284;285;change;8;163;3.0;62.0;0
285;286;change;8;173;3.0;62.0;0
286;287;change;8;183;3.0;62.0;0
287;288;change;8;199;3.0;62.0;0
288;289;change;8;209;3.0;62.0;0
289;290;change;8;219;3.0;62.0;0
290;291;change;10;29;3.0;62.0;0
291;292;change;10;39;3.0;62.0;0
292;293;change;10;43;3.0;62.0;0
293;294;change;10;53;3.0;62.0;0
294;295;change;10;71;3.0;62.0;0
295;296;change;10;73;3.0;62.0;0
296;297;change;10;101;3.0;62.0;0
297;298;change;10;103;3.0;62.0;0
298;299;change;10;111;3.0;62.0;0
299;300;change;10;113;3.0;62.0;0
300;301;change;10;125;3.0;62.0;70
301;302;change;10;137;3.0;62.0;0
302;303;change;10;145;3.0;62.0;0
303;304;change;10;157;3.0;62.0;0
304;305;change;10;165;3.0;62.0;0
305;306;change;10;175;3.0;62.0;0
306;307;change;10;185;3.0;62.0;0
307;308;change;10;197;3.0;62.0;0
308;309;change;10;207;3.0;62.0;0
309;310;change;10;217;3.0;62.0;0
310;311;change;10;229;3.0;62.0;0
311;312;change;12;27;3.0;62.0;0
312;313;change;12;37;3.0;62.0;0
313;314;change;12;45;3.0;62.0;0
314;315;change;12;55;3.0;62.0;0
315;316;change;12;69;3.0;62.0;0
316;317;change;12;89;3.0;62.0;0
317;318;change;12;99;3.0;62.0;0
318;319;change;12;143;3.0;62.0;0
319;320;change;12;159;3.0;62.0;0
320;321;change;12;163;3.0;62.0;0
321;322;change;12;173;3.0;62.0;0
322;323;change;12;183;3.0;62.0;0
323;324;change;12;199;3.0;62.0;0
324;325;change;12;209;3.0;62.0;0
325;326;change;12;219;3.0;62.0;0
326;327;change;14;25;3.0;62.0;0
327;328;change;14;35;3.0;62.0;0
328;329;change;14;47;3.0;62.0;0
329;330;change;14;57;3.0;62.0;0
330;331;change;14;63;3.0;62.0;0
331;332;change;14;79;3.0;62.0;15
332;333;change;14;83;3.0;62.0;0
333;334;change;14;93;3.0;62.0;0
334;335;change;14;109;3.0;62.0;0
335;336;change;14;119;3.0;62.0;0
336;337;change;14;161;3.0;62.0;0
337;338;change;14;171;3.0;62.0;0
338;339;change;14;181;3.0;62.0;0
339;340;change;16;23;3.0;62.0;0
340;341;change;16;33;3.0;62.0;0
341;342;change;16;49;3.0;62.0;0
342;343;change;16;59;3.0;62.0;0
343;344;change;18;81;3.0;62.0;0
344;345;change;18;91;3.0;62.0;0
345;346;change;20;61;3.0;62.0;0
346;347;change;22;5;3.0;62.0;0
347;348;change;22;17;3.0;62.0;70
348;349;change;24;7;3.0;62.0;0
349;350;change;24;15;3.0;62.0;0
350;351;change;24;63;3.0;62.0;10
351;352;change;24;79;3.0;62.0;0
352;353;change;24;83;3.0;62.0;0
353;354;change;24;93;3.0;62.0;0
354;355;change;24;109;3.0;62.0;0
355;356;change;24;119;3.0;62.0;0
356;357;change;24;161;3.0;62.0;0
357;358;change;24;171;3.0;62.0;0
358;359;change;24;181;3.0;62.0;0
359;360;change;26;9;3.0;62.0;0
360;361;change;26;13;3.0;62.0;0
361;362;change;26;69;3.0;62.0;0
362;363;change;26;89;3.0;62.0;0
363;364;change;26;99;3.0;62.0;0
364;365;change;26;143;3.0;62.0;0
365;366;change;26;159;3.0;62.0;0
366;367;change;26;163;3.0;62.0;0
367;368;change;26;173;3.0;62.0;0
368;369;change;26;183;3.0;62.0;0
369;370;change;26;199;3.0;62.0;0
370;371;change;26;209;3.0;62.0;0
371;372;change;26;219;3.0;62.0;0
372;373;change;28;11;3.0;62.0;0
373;374;change;28;71;3.0;62.0;0
374;375;change;28;73;3.0;62.0;0
375;376;change;28;101;3.0;62.0;0
376;377;change;28;103;3.0;62.0;0
377;378;change;28;111;3.0;62.0;0
378;379;change;28;113;3.0;62.0;0
379;380;change;28;125;3.0;62.0;0
380;381;change;28;137;3.0;62.0;0
381;382;change;28;145;3.0;62.0;0
382;383;change;28;157;3.0;62.0;0
383;384;change;28;165;3.0;62.0;0
384;385;change;28;175;3.0;62.0;0
385;386;change;28;185;3.0;62.0;0
386;387;change;28;197;3.0;62.0;0
387;388;change;28;207;3.0;62.0;0
388;389;change;28;217;3.0;62.0;0
389;390;change;28;229;3.0;62.0;0
390;391;change;30;147;3.0;62.0;0
391;392;change;30;155;3.0;62.0;0
392;393;change;30;237;3.0;62.0;255
393;394;change;30;239;3.0;62.0;30
394;395;change;32;5;3.0;62.0;0
395;396;change;32;17;3.0;62.0;0
396;397;change;34;7;3.0;62.0;0
397;398;change;34;15;3.0;62.0;0
398;399;change;34;63;3.0;62.0;0
399;400;change;34;79;3.0;62.0;0
400;401;change;34;83;3.0;62.0;0
401;402;change;34;93;3.0;62.0;0
402;403;change;34;109;3.0;62.0;0
403;404;change;34;119;3.0;62.0;0
404;405;change;34;161;3.0;62.0;0
405;406;change;34;171;3.0;62.0;0
406;407;change;34;181;3.0;62.0;0
407;408;change;36;9;3.0;62.0;0
408;409;change;36;13;3.0;62.0;0
409;410;change;36;69;3.0;62.0;0
410;411;change;36;89;3.0;62.0;0
411;412;change;36;99;3.0;62.0;0
412;413;change;36;143;3.0;62.0;0
413;414;change;36;159;3.0;62.0;0
414;415;change;36;163;3.0;62.0;0
415;416;change;36;173;3.0;62.0;0
416;417;change;36;183;3.0;62.0;0
417;418;change;36;199;3.0;62.0;0
418;419;change;36;209;3.0;62.0;0
419;420;change;36;219;3.0;62.0;0
420;421;change;38;11;3.0;62.0;0
421;422;change;38;71;3.0;62.0;0
422;423;change;38;73;3.0;62.0;0
423;424;change;38;101;3.0;62.0;0
424;425;change;38;103;3.0;62.0;0
425;426;change;38;111;3.0;62.0;0
426;427;change;38;113;3.0;62.0;0
427;428;change;38;125;3.0;62.0;0
428;429;change;38;137;3.0;62.0;0
429;430;change;38;145;3.0;62.0;0
430;431;change;38;157;3.0;62.0;0
431;432;change;38;165;3.0;62.0;0
432;433;change;38;175;3.0;62.0;0
433;434;change;38;185;3.0;62.0;0
434;435;change;38;197;3.0;62.0;0
435;436;change;38;207;3.0;62.0;0
436;437;change;38;217;3.0;62.0;0
437;438;change;38;229;3.0;62.0;0
438;439;change;40;147;3.0;62.0;0
439;440;change;40;155;3.0;62.0;0
440;441;change;40;237;3.0;62.0;0
441;442;change;40;239;3.0;62.0;0
442;443;change;42;11;3.0;62.0;0
443;444;change;42;71;3.0;62.0;0
444;445;change;42;73;3.0;62.0;30
445;446;change;42;101;3.0;62.0;0
446;447;change;42;103;3.0;62.0;75
447;448;change;42;111;3.0;62.0;0
448;449;change;42;113;3.0;62.0;0
449;450;change;42;125;3.0;62.0;0
450;451;change;42;137;3.0;62.0;0
451;452;change;42;145;3.0;62.0;0
452;453;change;42;157;3.0;62.0;0
453;454;change;42;165;3.0;62.0;0
454;455;change;42;175;3.0;62.0;0
455;456;change;42;185;3.0;62.0;0
456;457;change;42;197;3.0;62.0;0
457;458;change;42;207;3.0;62.0;0
458;459;change;42;217;3.0;62.0;0
459;460;change;42;229;3.0;62.0;0
460;461;change;44;9;3.0;62.0;0
461;462;change;44;13;3.0;62.0;0
462;463;change;44;69;3.0;62.0;0
463;464;change;44;89;3.0;62.0;0
464;465;change;44;99;3.0;62.0;0
465;466;change;44;143;3.0;62.0;0
466;467;change;44;159;3.0;62.0;0
467;468;change;44;163;3.0;62.0;0
468;469;change;44;173;3.0;62.0;0
469;470;change;44;183;3.0;62.0;0
470;471;change;44;199;3.0;62.0;0
471;472;change;44;209;3.0;62.0;0
472;473;change;44;219;3.0;62.0;0
473;474;change;46;7;3.0;62.0;0
474;475;change;46;15;3.0;62.0;0
475;476;change;46;63;3.0;62.0;0
476;477;change;46;79;3.0;62.0;5
477;478;change;46;83;3.0;62.0;0
478;479;change;46;93;3.0;62.0;0
479;480;change;46;109;3.0;62.0;15
480;481;change;46;119;3.0;62.0;0
481;482;change;46;161;3.0;62.0;0
482;483;change;46;171;3.0;62.0;0
483;484;change;46;181;3.0;62.0;0
484;485;change;48;5;3.0;62.0;0
485;486;change;48;17;3.0;62.0;0
486;487;change;50;221;3.0;62.0;0
487;488;change;52;11;3.0;62.0;0
488;489;change;52;71;3.0;62.0;0
489;490;change;52;73;3.0;62.0;0
490;491;change;52;101;3.0;62.0;0
491;492;change;52;103;3.0;62.0;0
492;493;change;52;111;3.0;62.0;0
493;494;change;52;113;3.0;62.0;0
494;495;change;52;125;3.0;62.0;0
495;496;change;52;137;3.0;62.0;0
496;497;change;52;145;3.0;62.0;0
497;498;change;52;157;3.0;62.0;0
498;499;change;52;165;3.0;62.0;0
499;500;change;52;175;3.0;62.0;0
500;501;change;52;185;3.0;62.0;0
501;502;change;52;197;3.0;62.0;0
502;503;change;52;207;3.0;62.0;0
503;504;change;52;217;3.0;62.0;0
504;505;change;52;229;3.0;62.0;0
505;506;change;54;9;3.0;62.0;0
506;507;change;54;13;3.0;62.0;0
507;508;change;54;69;3.0;62.0;0
508;509;change;54;89;3.0;62.0;0
509;510;change;54;99;3.0;62.0;0
510;511;change;54;143;3.0;62.0;0
511;512;change;54;159;3.0;62.0;0
512;513;change;54;163;3.0;62.0;0
513;514;change;54;173;3.0;62.0;0
514;515;change;54;183;3.0;62.0;0
515;516;change;54;199;3.0;62.0;0
516;517;change;54;209;3.0;62.0;0
517;518;change;54;219;3.0;62.0;0
518;519;change;56;7;3.0;62.0;0
519;520;change;56;15;3.0;62.0;0
520;521;change;56;63;3.0;62.0;0
521;522;change;56;79;3.0;62.0;0
522;523;change;56;83;3.0;62.0;0
523;524;change;56;93;3.0;62.0;0
524;525;change;56;109;3.0;62.0;0
525;526;change;56;119;3.0;62.0;0
526;527;change;56;161;3.0;62.0;0
527;528;change;56;171;3.0;62.0;0
528;529;change;56;181;3.0;62.0;0
529;530;change;58;5;3.0;62.0;0
530;531;change;58;17;3.0;62.0;0
531;532;change;60;221;3.0;62.0;0
532;533;change;62;7;3.0;62.0;15
533;534;change;62;15;3.0;62.0;0
534;535;change;62;25;3.0;62.0;5
535;536;change;62;35;3.0;62.0;0
536;537;change;62;47;3.0;62.0;0
537;538;change;62;57;3.0;62.0;0
538;539;change;62;83;3.0;62.0;0
539;540;change;62;93;3.0;62.0;0
540;541;change;62;109;3.0;62.0;0
541;542;change;62;119;3.0;62.0;0
542;543;change;62;161;3.0;62.0;10
543;544;change;62;171;3.0;62.0;0
544;545;change;62;181;3.0;62.0;0
545;546;change;64;105;3.0;62.0;140
546;547;change;64;107;3.0;62.0;0
547;548;change;64;115;3.0;62.0;0
548;549;change;64;117;3.0;62.0;0
549;550;change;66;105;3.0;62.0;0
550;551;change;66;107;3.0;62.0;0
551;552;change;66;115;3.0;62.0;0
552;553;change;66;117;3.0;62.0;0
553;554;change;68;11;3.0;62.0;0
554;555;change;68;29;3.0;62.0;30
555;556;change;68;39;3.0;62.0;0
556;557;change;68;43;3.0;62.0;0
557;558;change;68;53;3.0;62.0;0
558;559;change;68;101;3.0;62.0;0
559;560;change;68;103;3.0;62.0;0
560;561;change;68;111;3.0;62.0;0
561;562;change;68;113;3.0;62.0;0
562;563;change;68;125;3.0;62.0;60
563;564;change;68;137;3.0;62.0;0
564;565;change;68;145;3.0;62.0;0
565;566;change;68;157;3.0;62.0;0
566;567;change;68;165;3.0;62.0;0
567;568;change;68;175;3.0;62.0;0
568;569;change;68;185;3.0;62.0;0
569;570;change;68;197;3.0;62.0;0
570;571;change;68;207;3.0;62.0;0
571;572;change;68;217;3.0;62.0;0
572;573;change;68;229;3.0;62.0;0
573;574;change;70;11;3.0;62.0;0
574;575;change;70;29;3.0;62.0;0
575;576;change;70;39;3.0;62.0;0
576;577;change;70;43;3.0;62.0;0
577;578;change;70;53;3.0;62.0;0
578;579;change;70;101;3.0;62.0;0
579;580;change;70;103;3.0;62.0;0
580;581;change;70;111;3.0;62.0;0
581;582;change;70;113;3.0;62.0;0
582;583;change;70;125;3.0;62.0;0
583;584;change;70;137;3.0;62.0;0
584;585;change;70;145;3.0;62.0;0
585;586;change;70;157;3.0;62.0;0
586;587;change;70;165;3.0;62.0;0
587;588;change;70;175;3.0;62.0;0
588;589;change;70;185;3.0;62.0;0
589;590;change;70;197;3.0;62.0;0
590;591;change;70;207;3.0;62.0;0
591;592;change;70;217;3.0;62.0;0
592;593;change;70;229;3.0;62.0;0
593;594;change;72;9;3.0;62.0;0
594;595;change;72;13;3.0;62.0;0
595;596;change;72;27;3.0;62.0;0
596;597;change;72;37;3.0;62.0;0
597;598;change;72;45;3.0;62.0;0
598;599;change;72;55;3.0;62.0;0
599;600;change;72;89;3.0;62.0;0
600;601;change;72;99;3.0;62.0;0
601;602;change;72;143;3.0;62.0;0
602;603;change;72;159;3.0;62.0;0
603;604;change;72;163;3.0;62.0;0
604;605;change;72;173;3.0;62.0;0
605;606;change;72;183;3.0;62.0;0
606;607;change;72;199;3.0;62.0;0
607;608;change;72;209;3.0;62.0;0
608;609;change;72;219;3.0;62.0;0
609;610;change;74;85;3.0;62.0;100
610;611;change;74;87;3.0;62.0;0
611;612;change;74;95;3.0;62.0;0
612;613;change;74;97;3.0;62.0;0
613;614;change;74;121;3.0;62.0;120
614;615;change;74;123;3.0;62.0;0
615;616;change;74;141;3.0;62.0;0
616;617;change;76;85;3.0;62.0;0
617;618;change;76;87;3.0;62.0;175
618;619;change;76;95;3.0;62.0;0
619;620;change;76;97;3.0;62.0;0
620;621;change;76;121;3.0;62.0;15
621;622;change;76;123;3.0;62.0;255
622;623;change;76;141;3.0;62.0;50
623;624;change;78;7;3.0;62.0;0
624;625;change;78;15;3.0;62.0;35
625;626;change;78;25;3.0;62.0;0
626;627;change;78;35;3.0;62.0;0
627;628;change;78;47;3.0;62.0;10
628;629;change;78;57;3.0;62.0;0
629;630;change;78;83;3.0;62.0;0
630;631;change;78;93;3.0;62.0;0
631;632;change;78;109;3.0;62.0;0
632;633;change;78;119;3.0;62.0;0
633;634;change;78;161;3.0;62.0;0
634;635;change;78;171;3.0;62.0;0
635;636;change;78;181;3.0;62.0;0
636;637;change;80;1;3.0;62.0;0
637;638;change;82;7;3.0;62.0;0
638;639;change;82;15;3.0;62.0;0
639;640;change;82;25;3.0;62.0;15
640;641;change;82;35;3.0;62.0;0
641;642;change;82;47;3.0;62.0;0
642;643;change;82;57;3.0;62.0;0
643;644;change;82;63;3.0;62.0;0
644;645;change;82;79;3.0;62.0;0
645;646;change;82;161;3.0;62.0;55
646;647;change;82;171;3.0;62.0;0
647;648;change;82;181;3.0;62.0;0
648;649;change;84;75;3.0;62.0;0
649;650;change;84;77;3.0;62.0;0
650;651;change;86;75;3.0;62.0;0
651;652;change;86;77;3.0;62.0;140
652;653;change;88;11;3.0;62.0;0
653;654;change;88;29;3.0;62.0;75
654;655;change;88;39;3.0;62.0;0
655;656;change;88;43;3.0;62.0;0
656;657;change;88;53;3.0;62.0;0
657;658;change;88;71;3.0;62.0;0
658;659;change;88;73;3.0;62.0;0
659;660;change;88;125;3.0;62.0;0
660;661;change;88;137;3.0;62.0;0
661;662;change;88;145;3.0;62.0;0
662;663;change;88;157;3.0;62.0;0
663;664;change;88;165;3.0;62.0;0
664;665;change;88;175;3.0;62.0;0
665;666;change;88;185;3.0;62.0;0
666;667;change;88;197;3.0;62.0;0
667;668;change;88;207;3.0;62.0;0
668;669;change;88;217;3.0;62.0;0
669;670;change;88;229;3.0;62.0;0
670;671;change;90;11;3.0;62.0;0
671;672;change;90;29;3.0;62.0;0
672;673;change;90;39;3.0;62.0;0
673;674;change;90;43;3.0;62.0;0
674;675;change;90;53;3.0;62.0;0
675;676;change;90;71;3.0;62.0;0
676;677;change;90;73;3.0;62.0;0
677;678;change;90;125;3.0;62.0;0
678;679;change;90;137;3.0;62.0;0
679;680;change;90;145;3.0;62.0;0
680;681;change;90;157;3.0;62.0;0
681;682;change;90;165;3.0;62.0;0
682;683;change;90;175;3.0;62.0;0
