;activity_index;type;from_event;to_event;lower_bound;upper_bound;passengers
212;53;sync;35;45;20.0;20.0;0
274;54;drive;45;46;3.0;9.0;0
276;55;wait;46;47;1.0;3.0;0
224;56;sync;37;47;20.0;20.0;0
286;57;drive;47;48;4.0;5.0;0
288;58;wait;48;49;1.0;3.0;0
230;59;sync;39;49;20.0;20.0;0
292;60;drive;49;50;5.0;7.0;0
248;61;sync;41;51;20.0;20.0;0
310;62;drive;51;52;4.0;6.0;0
311;63;wait;52;53;1.0;3.0;0
251;64;sync;43;53;20.0;20.0;0
312;65;drive;53;54;2.0;2.0;0
313;66;wait;54;55;1.0;3.0;0
275;67;sync;45;55;20.0;20.0;0
335;68;drive;55;56;3.0;9.0;0
336;69;wait;56;57;1.0;3.0;0
287;70;sync;47;57;20.0;20.0;0
346;71;drive;57;58;4.0;5.0;0
347;72;wait;58;59;1.0;3.0;0
293;73;sync;49;59;20.0;20.0;0
351;74;drive;59;60;5.0;7.0;0
368;75;drive;61;62;3.0;4.0;151
370;76;wait;62;63;1.0;3.0;0
372;77;drive;63;64;1.0;3.0;430
374;78;wait;64;65;1.0;3.0;0
391;79;drive;65;66;6.0;8.0;160
369;80;sync;61;67;20.0;20.0;0
414;81;drive;67;68;3.0;4.0;0
416;82;wait;68;69;1.0;3.0;0
373;83;sync;63;69;20.0;20.0;0
418;84;drive;69;70;1.0;3.0;0
420;85;wait;70;71;1.0;3.0;0
392;86;sync;65;71;20.0;20.0;0
437;87;drive;71;72;6.0;8.0;0
415;88;sync;67;73;20.0;20.0;0
460;89;drive;73;74;3.0;4.0;0
461;90;wait;74;75;1.0;3.0;0
419;91;sync;69;75;20.0;20.0;0
463;92;drive;75;76;1.0;3.0;0
464;93;wait;76;77;1.0;3.0;0
438;94;sync;71;77;20.0;20.0;0
481;95;drive;77;78;6.0;8.0;0
503;96;drive;79;80;6.0;8.0;160
505;97;wait;80;81;1.0;3.0;0
506;98;drive;81;82;1.0;3.0;480
508;99;wait;82;83;1.0;3.0;0
530;100;drive;83;84;3.0;4.0;251
504;101;sync;79;85;20.0;20.0;0
548;102;drive;85;86;6.0;8.0;0
550;103;wait;86;87;1.0;3.0;0
507;104;sync;81;87;20.0;20.0;0
551;105;drive;87;88;1.0;3.0;0
553;106;wait;88;89;1.0;3.0;0
531;107;sync;83;89;20.0;20.0;0
575;108;drive;89;90;3.0;4.0;0
549;109;sync;85;91;20.0;20.0;0
593;110;drive;91;92;6.0;8.0;0
594;111;wait;92;93;1.0;3.0;0
552;112;sync;87;93;20.0;20.0;0
595;113;drive;93;94;1.0;3.0;0
596;114;wait;94;95;1.0;3.0;0
576;115;sync;89;95;20.0;20.0;0
618;116;drive;95;96;3.0;4.0;0
635;117;drive;97;98;4.0;5.0;10
636;118;wait;98;99;1.0;3.0;0
658;119;drive;99;100;3.0;9.0;150
659;120;wait;100;101;1.0;3.0;0
667;121;drive;101;102;2.0;2.0;100
681;122;drive;103;104;2.0;2.0;100
682;123;wait;104;105;1.0;3.0;0
709;124;drive;105;106;3.0;9.0;0
710;125;wait;106;107;1.0;3.0;0
724;126;drive;107;108;4.0;5.0;10
732;127;drive;109;110;1.0;3.0;91
734;128;wait;110;111;1.0;3.0;0
750;129;drive;111;112;2.0;2.0;0
733;130;sync;109;113;8.0;9.0;0
760;131;drive;113;114;1.0;3.0;0
762;132;wait;114;115;1.0;3.0;0
751;133;sync;111;115;8.0;9.0;0
778;134;drive;115;116;2.0;2.0;0
761;135;sync;113;117;8.0;9.0;0
788;136;drive;117;118;1.0;3.0;0
790;137;wait;118;119;1.0;3.0;0
779;138;sync;115;119;8.0;9.0;0
806;139;drive;119;120;2.0;2.0;0
789;140;sync;117;121;8.0;9.0;0
816;141;drive;121;122;1.0;3.0;0
818;142;wait;122;123;1.0;3.0;0
807;143;sync;119;123;8.0;9.0;0
834;144;drive;123;124;2.0;2.0;0
817;145;sync;121;125;8.0;9.0;0
844;146;drive;125;126;1.0;3.0;0
846;147;wait;126;127;1.0;3.0;0
835;148;sync;123;127;8.0;9.0;0
862;149;drive;127;128;2.0;2.0;0
845;150;sync;125;129;8.0;9.0;0
872;151;drive;129;130;1.0;3.0;0
874;152;wait;130;131;1.0;3.0;0
863;153;sync;127;131;8.0;9.0;0
890;154;drive;131;132;2.0;2.0;0
873;155;sync;129;133;8.0;9.0;0
900;156;drive;133;134;1.0;3.0;0
901;157;wait;134;135;1.0;3.0;0
891;158;sync;131;135;8.0;9.0;0
917;159;drive;135;136;2.0;2.0;0
926;160;drive;137;138;2.0;2.0;0
928;161;wait;138;139;1.0;3.0;0
942;162;drive;139;140;1.0;3.0;191
927;163;sync;137;141;8.0;9.0;0
957;164;drive;141;142;2.0;2.0;0
959;165;wait;142;143;1.0;3.0;0
943;166;sync;139;143;8.0;9.0;0
973;167;drive;143;144;1.0;3.0;0
958;168;sync;141;145;8.0;9.0;0
988;169;drive;145;146;2.0;2.0;0
990;170;wait;146;147;1.0;3.0;0
974;171;sync;143;147;8.0;9.0;0
1004;172;drive;147;148;1.0;3.0;0
989;173;sync;145;149;8.0;9.0;0
1019;174;drive;149;150;2.0;2.0;0
1021;175;wait;150;151;1.0;3.0;0
1005;176;sync;147;151;8.0;9.0;0
1035;177;drive;151;152;1.0;3.0;0
1020;178;sync;149;153;8.0;9.0;0
1050;179;drive;153;154;2.0;2.0;0
1052;180;wait;154;155;1.0;3.0;0
1036;181;sync;151;155;8.0;9.0;0
1066;182;drive;155;156;1.0;3.0;0
1051;183;sync;153;157;8.0;9.0;0
1081;184;drive;157;158;2.0;2.0;0
1083;185;wait;158;159;1.0;3.0;0
1067;186;sync;155;159;8.0;9.0;0
1097;187;drive;159;160;1.0;3.0;0
1082;188;sync;157;161;8.0;9.0;0
1112;189;drive;161;162;2.0;2.0;0
1113;190;wait;162;163;1.0;3.0;0
1098;191;sync;159;163;8.0;9.0;0
1127;192;drive;163;164;1.0;3.0;0
1141;193;drive;165;166;3.0;4.0;100
1142;194;wait;166;167;1.0;3.0;0
1146;195;drive;167;168;4.0;5.0;0
1167;196;drive;169;170;4.0;5.0;0
1168;197;wait;170;171;1.0;3.0;0
1177;198;drive;171;172;3.0;4.0;0
6;199;change;4;61;3.0;62.0;20
7;200;change;4;67;3.0;62.0;0
8;201;change;4;73;3.0;62.0;0
9;202;change;4;81;3.0;62.0;150
10;203;change;4;87;3.0;62.0;0
11;204;change;4;93;3.0;62.0;0
12;205;change;4;107;3.0;62.0;0
13;206;change;4;139;3.0;62.0;0
14;207;change;4;143;3.0;62.0;0
15;208;change;4;147;3.0;62.0;0
16;209;change;4;151;3.0;62.0;0
17;210;change;4;155;3.0;62.0;0
18;211;change;4;159;3.0;62.0;0
19;212;change;4;163;3.0;62.0;0
20;213;change;4;165;3.0;62.0;0
21;214;change;4;169;3.0;62.0;0
25;215;change;6;97;3.0;62.0;0
26;216;change;6;105;3.0;62.0;0
27;217;change;6;167;3.0;62.0;0
31;218;change;8;99;3.0;62.0;150
32;219;change;8;103;3.0;62.0;0
33;220;change;8;137;3.0;62.0;0
34;221;change;8;141;3.0;62.0;0
35;222;change;8;145;3.0;62.0;0
36;223;change;8;149;3.0;62.0;0
37;224;change;8;153;3.0;62.0;0
38;225;change;8;157;3.0;62.0;0
39;226;change;8;161;3.0;62.0;0
42;227;change;10;63;3.0;62.0;20
43;228;change;10;69;3.0;62.0;0
44;229;change;10;75;3.0;62.0;0
45;230;change;10;79;3.0;62.0;0
46;231;change;10;85;3.0;62.0;0
47;232;change;10;91;3.0;62.0;0
48;233;change;10;101;3.0;62.0;100
49;234;change;10;109;3.0;62.0;1
50;235;change;10;111;3.0;62.0;0
51;236;change;10;113;3.0;62.0;0
52;237;change;10;115;3.0;62.0;0
53;238;change;10;117;3.0;62.0;0
54;239;change;10;119;3.0;62.0;0
55;240;change;10;121;3.0;62.0;0
56;241;change;10;123;3.0;62.0;0
57;242;change;10;125;3.0;62.0;0
58;243;change;10;127;3.0;62.0;0
59;244;change;10;129;3.0;62.0;0
60;245;change;10;131;3.0;62.0;0
61;246;change;10;133;3.0;62.0;0
62;247;change;10;135;3.0;62.0;0
69;248;change;14;61;3.0;62.0;0
70;249;change;14;67;3.0;62.0;0
71;250;change;14;73;3.0;62.0;0
72;251;change;14;81;3.0;62.0;0
73;252;change;14;87;3.0;62.0;0
74;253;change;14;93;3.0;62.0;0
75;254;change;14;107;3.0;62.0;0
76;255;change;14;139;3.0;62.0;0
77;256;change;14;143;3.0;62.0;0
78;257;change;14;147;3.0;62.0;0
79;258;change;14;151;3.0;62.0;0
80;259;change;14;155;3.0;62.0;0
81;260;change;14;159;3.0;62.0;0
82;261;change;14;163;3.0;62.0;0
83;262;change;14;165;3.0;62.0;0
84;263;change;14;169;3.0;62.0;0
88;264;change;16;97;3.0;62.0;0
89;265;change;16;105;3.0;62.0;0
90;266;change;16;167;3.0;62.0;0
94;267;change;18;99;3.0;62.0;0
95;268;change;18;103;3.0;62.0;0
96;269;change;18;137;3.0;62.0;0
97;270;change;18;141;3.0;62.0;0
98;271;change;18;145;3.0;62.0;0
99;272;change;18;149;3.0;62.0;0
100;273;change;18;153;3.0;62.0;0
101;274;change;18;157;3.0;62.0;0
102;275;change;18;161;3.0;62.0;0
105;276;change;20;63;3.0;62.0;0
106;277;change;20;69;3.0;62.0;0
107;278;change;20;75;3.0;62.0;0
108;279;change;20;79;3.0;62.0;0
109;280;change;20;85;3.0;62.0;0
110;281;change;20;91;3.0;62.0;0
111;282;change;20;101;3.0;62.0;0
112;283;change;20;109;3.0;62.0;0
113;284;change;20;111;3.0;62.0;0
114;285;change;20;113;3.0;62.0;0
115;286;change;20;115;3.0;62.0;0
116;287;change;20;117;3.0;62.0;0
117;288;change;20;119;3.0;62.0;0
118;289;change;20;121;3.0;62.0;0
119;290;change;20;123;3.0;62.0;0
120;291;change;20;125;3.0;62.0;0
121;292;change;20;127;3.0;62.0;0
122;293;change;20;129;3.0;62.0;0
123;294;change;20;131;3.0;62.0;0
124;295;change;20;133;3.0;62.0;0
125;296;change;20;135;3.0;62.0;0
130;297;change;24;61;3.0;62.0;0
131;298;change;24;67;3.0;62.0;0
132;299;change;24;73;3.0;62.0;0
133;300;change;24;81;3.0;62.0;0
134;301;change;24;87;3.0;62.0;0
135;302;change;24;93;3.0;62.0;0
136;303;change;24;107;3.0;62.0;0
137;304;change;24;139;3.0;62.0;0
138;305;change;24;143;3.0;62.0;0
139;306;change;24;147;3.0;62.0;0
140;307;change;24;151;3.0;62.0;0
141;308;change;24;155;3.0;62.0;0
142;309;change;24;159;3.0;62.0;0
143;310;change;24;163;3.0;62.0;0
144;311;change;24;165;3.0;62.0;0
145;312;change;24;169;3.0;62.0;0
148;313;change;26;97;3.0;62.0;0
149;314;change;26;105;3.0;62.0;0
150;315;change;26;167;3.0;62.0;0
153;316;change;28;99;3.0;62.0;0
154;317;change;28;103;3.0;62.0;0
155;318;change;28;137;3.0;62.0;0
156;319;change;28;141;3.0;62.0;0
157;320;change;28;145;3.0;62.0;0
158;321;change;28;149;3.0;62.0;0
159;322;change;28;153;3.0;62.0;0
160;323;change;28;157;3.0;62.0;0
161;324;change;28;161;3.0;62.0;0
163;325;change;30;63;3.0;62.0;0
164;326;change;30;69;3.0;62.0;0
165;327;change;30;75;3.0;62.0;0
166;328;change;30;79;3.0;62.0;0
167;329;change;30;85;3.0;62.0;0
168;330;change;30;91;3.0;62.0;0
169;331;change;30;101;3.0;62.0;0
170;332;change;30;109;3.0;62.0;0
171;333;change;30;111;3.0;62.0;0
172;334;change;30;113;3.0;62.0;0
173;335;change;30;115;3.0;62.0;0
174;336;change;30;117;3.0;62.0;0
175;337;change;30;119;3.0;62.0;0
176;338;change;30;121;3.0;62.0;0
177;339;change;30;123;3.0;62.0;0
178;340;change;30;125;3.0;62.0;0
179;341;change;30;127;3.0;62.0;0
180;342;change;30;129;3.0;62.0;0
181;343;change;30;131;3.0;62.0;0
182;344;change;30;133;3.0;62.0;0
183;345;change;30;135;3.0;62.0;0
190;346;change;34;63;3.0;62.0;160
191;347;change;34;69;3.0;62.0;0
192;348;change;34;75;3.0;62.0;0
193;349;change;34;79;3.0;62.0;90
194;350;change;34;85;3.0;62.0;0
195;351;change;34;91;3.0;62.0;0
196;352;change;34;101;3.0;62.0;0
197;353;change;34;109;3.0;62.0;70
198;354;change;34;111;3.0;62.0;0
199;355;change;34;113;3.0;62.0;0
200;356;change;34;115;3.0;62.0;0
201;357;change;34;117;3.0;62.0;0
202;358;change;34;119;3.0;62.0;0
203;359;change;34;121;3.0;62.0;0
204;360;change;34;123;3.0;62.0;0
205;361;change;34;125;3.0;62.0;0
206;362;change;34;127;3.0;62.0;0
207;363;change;34;129;3.0;62.0;0
208;364;change;34;131;3.0;62.0;0
209;365;change;34;133;3.0;62.0;0
210;366;change;34;135;3.0;62.0;0
214;367;change;36;99;3.0;62.0;0
215;368;change;36;103;3.0;62.0;0
216;369;change;36;137;3.0;62.0;0
217;370;change;36;141;3.0;62.0;0
218;371;change;36;145;3.0;62.0;0
219;372;change;36;149;3.0;62.0;0
220;373;change;36;153;3.0;62.0;0
221;374;change;36;157;3.0;62.0;0
222;375;change;36;161;3.0;62.0;0
226;376;change;38;97;3.0;62.0;0
227;377;change;38;105;3.0;62.0;0
228;378;change;38;167;3.0;62.0;0
231;379;change;40;61;3.0;62.0;10
232;380;change;40;67;3.0;62.0;0
233;381;change;40;73;3.0;62.0;0
234;382;change;40;81;3.0;62.0;160
235;383;change;40;87;3.0;62.0;0
236;384;change;40;93;3.0;62.0;0
237;385;change;40;107;3.0;62.0;10
238;386;change;40;139;3.0;62.0;0
239;387;change;40;143;3.0;62.0;0
240;388;change;40;147;3.0;62.0;0
241;389;change;40;151;3.0;62.0;0
242;390;change;40;155;3.0;62.0;0
243;391;change;40;159;3.0;62.0;0
244;392;change;40;163;3.0;62.0;0
245;393;change;40;165;3.0;62.0;0
246;394;change;40;169;3.0;62.0;0
253;395;change;44;63;3.0;62.0;0
254;396;change;44;69;3.0;62.0;0
255;397;change;44;75;3.0;62.0;0
256;398;change;44;79;3.0;62.0;0
257;399;change;44;85;3.0;62.0;0
258;400;change;44;91;3.0;62.0;0
259;401;change;44;101;3.0;62.0;0
260;402;change;44;109;3.0;62.0;0
261;403;change;44;111;3.0;62.0;0
262;404;change;44;113;3.0;62.0;0
263;405;change;44;115;3.0;62.0;0
264;406;change;44;117;3.0;62.0;0
265;407;change;44;119;3.0;62.0;0
266;408;change;44;121;3.0;62.0;0
267;409;change;44;123;3.0;62.0;0
268;410;change;44;125;3.0;62.0;0
269;411;change;44;127;3.0;62.0;0
270;412;change;44;129;3.0;62.0;0
271;413;change;44;131;3.0;62.0;0
272;414;change;44;133;3.0;62.0;0
273;415;change;44;135;3.0;62.0;0
277;416;change;46;99;3.0;62.0;0
278;417;change;46;103;3.0;62.0;0
279;418;change;46;137;3.0;62.0;0
280;419;change;46;141;3.0;62.0;0
281;420;change;46;145;3.0;62.0;0
282;421;change;46;149;3.0;62.0;0
283;422;change;46;153;3.0;62.0;0
284;423;change;46;157;3.0;62.0;0
285;424;change;46;161;3.0;62.0;0
289;425;change;48;97;3.0;62.0;0
290;426;change;48;105;3.0;62.0;0
291;427;change;48;167;3.0;62.0;0
294;428;change;50;61;3.0;62.0;0
295;429;change;50;67;3.0;62.0;0
296;430;change;50;73;3.0;62.0;0
297;431;change;50;81;3.0;62.0;0
298;432;change;50;87;3.0;62.0;0
299;433;change;50;93;3.0;62.0;0
300;434;change;50;107;3.0;62.0;0
301;435;change;50;139;3.0;62.0;0
302;436;change;50;143;3.0;62.0;0
303;437;change;50;147;3.0;62.0;0
304;438;change;50;151;3.0;62.0;0
305;439;change;50;155;3.0;62.0;0
306;440;change;50;159;3.0;62.0;0
307;441;change;50;163;3.0;62.0;0
308;442;change;50;165;3.0;62.0;0
309;443;change;50;169;3.0;62.0;0
314;444;change;54;63;3.0;62.0;0
315;445;change;54;69;3.0;62.0;0
316;446;change;54;75;3.0;62.0;0
317;447;change;54;79;3.0;62.0;0
318;448;change;54;85;3.0;62.0;0
319;449;change;54;91;3.0;62.0;0
320;450;change;54;101;3.0;62.0;0
321;451;change;54;109;3.0;62.0;0
322;452;change;54;111;3.0;62.0;0
323;453;change;54;113;3.0;62.0;0
324;454;change;54;115;3.0;62.0;0
325;455;change;54;117;3.0;62.0;0
326;456;change;54;119;3.0;62.0;0
327;457;change;54;121;3.0;62.0;0
328;458;change;54;123;3.0;62.0;0
329;459;change;54;125;3.0;62.0;0
330;460;change;54;127;3.0;62.0;0
331;461;change;54;129;3.0;62.0;0
332;462;change;54;131;3.0;62.0;0
333;463;change;54;133;3.0;62.0;0
334;464;change;54;135;3.0;62.0;0
337;465;change;56;99;3.0;62.0;0
338;466;change;56;103;3.0;62.0;0
339;467;change;56;137;3.0;62.0;0
340;468;change;56;141;3.0;62.0;0
341;469;change;56;145;3.0;62.0;0
342;470;change;56;149;3.0;62.0;0
343;471;change;56;153;3.0;62.0;0
344;472;change;56;157;3.0;62.0;0
345;473;change;56;161;3.0;62.0;0
348;474;change;58;97;3.0;62.0;0
349;475;change;58;105;3.0;62.0;0
350;476;change;58;167;3.0;62.0;0
352;477;change;60;61;3.0;62.0;0
353;478;change;60;67;3.0;62.0;0
354;479;change;60;73;3.0;62.0;0
355;480;change;60;81;3.0;62.0;0
356;481;change;60;87;3.0;62.0;0
357;482;change;60;93;3.0;62.0;0
358;483;change;60;107;3.0;62.0;0
359;484;change;60;139;3.0;62.0;0
360;485;change;60;143;3.0;62.0;0
361;486;change;60;147;3.0;62.0;0
362;487;change;60;151;3.0;62.0;0
363;488;change;60;155;3.0;62.0;0
364;489;change;60;159;3.0;62.0;0
365;490;change;60;163;3.0;62.0;0
366;491;change;60;165;3.0;62.0;0
367;492;change;60;169;3.0;62.0;0
371;493;change;62;171;3.0;62.0;0
375;494;change;64;1;3.0;62.0;160
376;495;change;64;11;3.0;62.0;0
377;496;change;64;21;3.0;62.0;0
378;497;change;64;37;3.0;62.0;0
379;498;change;64;47;3.0;62.0;0
380;499;change;64;57;3.0;62.0;0
381;500;change;64;107;3.0;62.0;0
382;501;change;64;139;3.0;62.0;0
383;502;change;64;143;3.0;62.0;0
384;503;change;64;147;3.0;62.0;0
385;504;change;64;151;3.0;62.0;0
386;505;change;64;155;3.0;62.0;0
387;506;change;64;159;3.0;62.0;0
388;507;change;64;163;3.0;62.0;0
389;508;change;64;165;3.0;62.0;100
390;509;change;64;169;3.0;62.0;0
393;510;change;66;7;3.0;62.0;90
394;511;change;66;17;3.0;62.0;0
395;512;change;66;27;3.0;62.0;0
396;513;change;66;31;3.0;62.0;0
397;514;change;66;41;3.0;62.0;0
398;515;change;66;51;3.0;62.0;0
399;516;change;66;101;3.0;62.0;0
400;517;change;66;109;3.0;62.0;20
401;518;change;66;111;3.0;62.0;0
402;519;change;66;113;3.0;62.0;0
403;520;change;66;115;3.0;62.0;0
404;521;change;66;117;3.0;62.0;0
405;522;change;66;119;3.0;62.0;0
406;523;change;66;121;3.0;62.0;0
407;524;change;66;123;3.0;62.0;0
408;525;change;66;125;3.0;62.0;0
409;526;change;66;127;3.0;62.0;0
410;527;change;66;129;3.0;62.0;0
411;528;change;66;131;3.0;62.0;0
412;529;change;66;133;3.0;62.0;0
413;530;change;66;135;3.0;62.0;0
417;531;change;68;171;3.0;62.0;0
421;532;change;70;1;3.0;62.0;0
422;533;change;70;11;3.0;62.0;0
423;534;change;70;21;3.0;62.0;0
424;535;change;70;37;3.0;62.0;0
425;536;change;70;47;3.0;62.0;0
426;537;change;70;57;3.0;62.0;0
427;538;change;70;107;3.0;62.0;0
428;539;change;70;139;3.0;62.0;0
429;540;change;70;143;3.0;62.0;0
430;541;change;70;147;3.0;62.0;0
431;542;change;70;151;3.0;62.0;0
432;543;change;70;155;3.0;62.0;0
433;544;change;70;159;3.0;62.0;0
434;545;change;70;163;3.0;62.0;0
435;546;change;70;165;3.0;62.0;0
436;547;change;70;169;3.0;62.0;0
439;548;change;72;7;3.0;62.0;0
440;549;change;72;17;3.0;62.0;0
441;550;change;72;27;3.0;62.0;0
442;551;change;72;31;3.0;62.0;0
443;552;change;72;41;3.0;62.0;0
444;553;change;72;51;3.0;62.0;0
445;554;change;72;101;3.0;62.0;0
446;555;change;72;109;3.0;62.0;0
447;556;change;72;111;3.0;62.0;0
448;557;change;72;113;3.0;62.0;0
449;558;change;72;115;3.0;62.0;0
450;559;change;72;117;3.0;62.0;0
451;560;change;72;119;3.0;62.0;0
452;561;change;72;121;3.0;62.0;0
453;562;change;72;123;3.0;62.0;0
454;563;change;72;125;3.0;62.0;0
455;564;change;72;127;3.0;62.0;0
456;565;change;72;129;3.0;62.0;0
457;566;change;72;131;3.0;62.0;0
458;567;change;72;133;3.0;62.0;0
459;568;change;72;135;3.0;62.0;0
462;569;change;74;171;3.0;62.0;0
465;570;change;76;1;3.0;62.0;0
466;571;change;76;11;3.0;62.0;0
467;572;change;76;21;3.0;62.0;0
468;573;change;76;37;3.0;62.0;0
469;574;change;76;47;3.0;62.0;0
470;575;change;76;57;3.0;62.0;0
471;576;change;76;107;3.0;62.0;0
472;577;change;76;139;3.0;62.0;0
473;578;change;76;143;3.0;62.0;0
474;579;change;76;147;3.0;62.0;0
475;580;change;76;151;3.0;62.0;0
476;581;change;76;155;3.0;62.0;0
477;582;change;76;159;3.0;62.0;0
478;583;change;76;163;3.0;62.0;0
479;584;change;76;165;3.0;62.0;0
480;585;change;76;169;3.0;62.0;0
482;586;change;78;7;3.0;62.0;0
483;587;change;78;17;3.0;62.0;0
484;588;change;78;27;3.0;62.0;0
485;589;change;78;31;3.0;62.0;0
486;590;change;78;41;3.0;62.0;0
487;591;change;78;51;3.0;62.0;0
488;592;change;78;101;3.0;62.0;0
489;593;change;78;109;3.0;62.0;0
490;594;change;78;111;3.0;62.0;0
491;595;change;78;113;3.0;62.0;0
492;596;change;78;115;3.0;62.0;0
493;597;change;78;117;3.0;62.0;0
494;598;change;78;119;3.0;62.0;0
495;599;change;78;121;3.0;62.0;0
496;600;change;78;123;3.0;62.0;0
497;601;change;78;125;3.0;62.0;0
498;602;change;78;127;3.0;62.0;0
499;603;change;78;129;3.0;62.0;0
500;604;change;78;131;3.0;62.0;0
501;605;change;78;133;3.0;62.0;0
502;606;change;78;135;3.0;62.0;0
509;607;change;82;7;3.0;62.0;160
510;608;change;82;17;3.0;62.0;0
511;609;change;82;27;3.0;62.0;0
512;610;change;82;31;3.0;62.0;20
513;611;change;82;41;3.0;62.0;0
514;612;change;82;51;3.0;62.0;0
515;613;change;82;101;3.0;62.0;0
516;614;change;82;109;3.0;62.0;0
517;615;change;82;111;3.0;62.0;0
518;616;change;82;113;3.0;62.0;0
519;617;change;82;115;3.0;62.0;0
520;618;change;82;117;3.0;62.0;0
521;619;change;82;119;3.0;62.0;0
522;620;change;82;121;3.0;62.0;0
523;621;change;82;123;3.0;62.0;0
524;622;change;82;125;3.0;62.0;0
525;623;change;82;127;3.0;62.0;0
526;624;change;82;129;3.0;62.0;0
527;625;change;82;131;3.0;62.0;0
528;626;change;82;133;3.0;62.0;0
529;627;change;82;135;3.0;62.0;0
532;628;change;84;1;3.0;62.0;10
533;629;change;84;11;3.0;62.0;0
534;630;change;84;21;3.0;62.0;0
535;631;change;84;37;3.0;62.0;20
536;632;change;84;47;3.0;62.0;0
537;633;change;84;57;3.0;62.0;0
538;634;change;84;107;3.0;62.0;0
539;635;change;84;139;3.0;62.0;181
540;636;change;84;143;3.0;62.0;0
541;637;change;84;147;3.0;62.0;0
542;638;change;84;151;3.0;62.0;0
543;639;change;84;155;3.0;62.0;0
544;640;change;84;159;3.0;62.0;0
545;641;change;84;163;3.0;62.0;0
546;642;change;84;165;3.0;62.0;0
547;643;change;84;169;3.0;62.0;0
554;644;change;88;7;3.0;62.0;0
555;645;change;88;17;3.0;62.0;0
556;646;change;88;27;3.0;62.0;0
557;647;change;88;31;3.0;62.0;0
558;648;change;88;41;3.0;62.0;0
559;649;change;88;51;3.0;62.0;0
560;650;change;88;101;3.0;62.0;0
561;651;change;88;109;3.0;62.0;0
562;652;change;88;111;3.0;62.0;0
563;653;change;88;113;3.0;62.0;0
564;654;change;88;115;3.0;62.0;0
565;655;change;88;117;3.0;62.0;0
566;656;change;88;119;3.0;62.0;0
567;657;change;88;121;3.0;62.0;0
568;658;change;88;123;3.0;62.0;0
569;659;change;88;125;3.0;62.0;0
570;660;change;88;127;3.0;62.0;0
571;661;change;88;129;3.0;62.0;0
572;662;change;88;131;3.0;62.0;0
573;663;change;88;133;3.0;62.0;0
574;664;change;88;135;3.0;62.0;0
577;665;change;90;1;3.0;62.0;0
578;666;change;90;11;3.0;62.0;0
579;667;change;90;21;3.0;62.0;0
580;668;change;90;37;3.0;62.0;0
581;669;change;90;47;3.0;62.0;0
582;670;change;90;57;3.0;62.0;0
583;671;change;90;107;3.0;62.0;0
584;672;change;90;139;3.0;62.0;0
585;673;change;90;143;3.0;62.0;0
586;674;change;90;147;3.0;62.0;0
587;675;change;90;151;3.0;62.0;0
588;676;change;90;155;3.0;62.0;0
589;677;change;90;159;3.0;62.0;0
590;678;change;90;163;3.0;62.0;0
591;679;change;90;165;3.0;62.0;0
592;680;change;90;169;3.0;62.0;0
597;681;change;94;7;3.0;62.0;0
598;682;change;94;17;3.0;62.0;0
599;683;change;94;27;3.0;62.0;0
600;684;change;94;31;3.0;62.0;0
601;685;change;94;41;3.0;62.0;0
