;event_id;type;stop-id;line-id;passengers;line-direction;line-freq-repetition
83;84;arrival;3;2;251;<;1
84;85;departure;6;2;0;<;2
85;86;arrival;8;2;0;<;2
86;87;departure;3;2;0;<;2
87;88;arrival;6;2;0;<;2
88;89;departure;2;2;0;<;2
89;90;arrival;3;2;0;<;2
90;91;departure;6;2;0;<;3
91;92;arrival;8;2;0;<;3
92;93;departure;3;2;0;<;3
93;94;arrival;6;2;0;<;3
94;95;departure;2;2;0;<;3
95;96;arrival;3;2;0;<;3
96;97;departure;4;7;0;>;1
97;98;arrival;3;7;10;>;1
98;99;departure;5;7;0;>;1
99;100;arrival;4;7;150;>;1
100;101;departure;6;7;0;>;1
101;102;arrival;5;7;100;>;1
102;103;departure;5;7;0;<;1
103;104;arrival;6;7;100;<;1
104;105;departure;4;7;0;<;1
105;106;arrival;5;7;0;<;1
106;107;departure;3;7;0;<;1
107;108;arrival;4;7;10;<;1
108;109;departure;6;4;0;>;1
109;110;arrival;3;4;91;>;1
110;111;departure;6;4;0;>;1
111;112;arrival;5;4;0;>;1
112;113;departure;6;4;0;>;2
113;114;arrival;3;4;0;>;2
114;115;departure;6;4;0;>;2
115;116;arrival;5;4;0;>;2
116;117;departure;6;4;0;>;3
117;118;arrival;3;4;0;>;3
118;119;departure;6;4;0;>;3
119;120;arrival;5;4;0;>;3
120;121;departure;6;4;0;>;4
121;122;arrival;3;4;0;>;4
122;123;departure;6;4;0;>;4
123;124;arrival;5;4;0;>;4
124;125;departure;6;4;0;>;5
125;126;arrival;3;4;0;>;5
126;127;departure;6;4;0;>;5
127;128;arrival;5;4;0;>;5
128;129;departure;6;4;0;>;6
129;130;arrival;3;4;0;>;6
130;131;departure;6;4;0;>;6
131;132;arrival;5;4;0;>;6
132;133;departure;6;4;0;>;7
133;134;arrival;3;4;0;>;7
134;135;departure;6;4;0;>;7
135;136;arrival;5;4;0;>;7
136;137;departure;5;4;0;<;1
137;138;arrival;6;4;0;<;1
138;139;departure;3;4;0;<;1
139;140;arrival;6;4;191;<;1
140;141;departure;5;4;0;<;2
141;142;arrival;6;4;0;<;2
142;143;departure;3;4;0;<;2
143;144;arrival;6;4;0;<;2
144;145;departure;5;4;0;<;3
145;146;arrival;6;4;0;<;3
146;147;departure;3;4;0;<;3
147;148;arrival;6;4;0;<;3
148;149;departure;5;4;0;<;4
149;150;arrival;6;4;0;<;4
150;151;departure;3;4;0;<;4
151;152;arrival;6;4;0;<;4
152;153;departure;5;4;0;<;5
153;154;arrival;6;4;0;<;5
154;155;departure;3;4;0;<;5
155;156;arrival;6;4;0;<;5
156;157;departure;5;4;0;<;6
157;158;arrival;6;4;0;<;6
158;159;departure;3;4;0;<;6
159;160;arrival;6;4;0;<;6
160;161;departure;5;4;0;<;7
161;162;arrival;6;4;0;<;7
162;163;departure;3;4;0;<;7
163;164;arrival;6;4;0;<;7
164;165;departure;3;5;0;>;1
165;166;arrival;2;5;100;>;1
166;167;departure;4;5;0;>;1
167;168;arrival;3;5;0;>;1
168;169;departure;3;5;0;<;1
169;170;arrival;4;5;0;<;1
170;171;departure;2;5;0;<;1
171;172;arrival;3;5;0;<;1
